order_id,payment_sequential,payment_type,payment_installments,payment_value
fde8ee361a63b2ee323ac574ee41524f,1,credit_card,2,259.15
b708bcdd3889b8e6df7323fcb64bec79,1,boleto,1,41.85
832c7364e0bee77d8763a327983c1b8a,1,credit_card,3,33.01
be47c07fc0095b7f75dafce1451bc891,1,credit_card,1,48.51
e6f1079796c9aa6e372d9c759310b5c2,1,credit_card,9,181.91
8e69cb6bacc0ad1b8f16f6990e9375ac,1,credit_card,1,88.9
46c3d7a39e516332b81a4841a2fae891,1,credit_card,3,117.57
abcf5984d3741238d9c49184b7fa5941,1,credit_card,5,145.01
9f6f347729af61a4a18eda64c6609dda,1,credit_card,1,62.78
44d2850802286aba47ac68220a075bb3,1,boleto,1,79.05
093a8c168710da385a8c59d3149ea380,1,boleto,1,55.13
b0ea6041ac66a83e6a8508f3954edf91,1,credit_card,4,111.1
393e01721bf0c84196ccd4b423b53798,1,credit_card,8,643.89
40b9d0a196fc994938fec40d258133be,1,credit_card,1,107.41
b37e66984bc386101154f129feee1830,1,credit_card,2,147.55
db4f107fcd5c5dac40c23f70a64f2031,1,credit_card,1,33.09
c6d26341bec0769b3ccfa232c63b3675,1,boleto,1,737.85
bc8e285705d492abebdf4fce7786ab80,1,boleto,1,155.12
b5f13aa3a46ca3005d39389331866fe4,1,credit_card,3,299.7
d4b4050ad0885ce84603e34ee06201ca,1,credit_card,5,553.38
28cc666d3c85564ac6854085a36582fb,1,boleto,1,84.79
15f03e32c4f15c02ef2461951758bce9,1,credit_card,3,162.89
4b8551fdf4362d88d520a66e6132b2ba,1,credit_card,1,77.2
33eafd0ea4c37147b521b67b83b6769c,1,credit_card,1,93.89
7254ba1421bac35de5d5da660715bf0e,1,credit_card,3,176.85
a0147b55f1d225bb21f981e58f735589,1,voucher,1,219.3
fe98cb0615a7611265d8955be5ca9497,1,credit_card,5,54.36
05871d52118762aaae93a3682fc5fe2f,1,credit_card,4,389.31
c4ce02b0d68f5bf60e5d6bac4701350d,1,credit_card,5,384.45
8ef736291230daaf8c549e5120c51cae,1,credit_card,10,927.87
17d22657f0987dcb5df8abd4fa057f8c,1,boleto,1,99.91
cb52e15d9560e5dadaf5732671a919d1,1,credit_card,2,96.0
f2b150da2994a9a654a8af90977b9cc9,1,credit_card,2,98.65
f7abe88fbe9b7ae7a46f897236e58d31,2,voucher,1,45.88
28ee4942e257119c5bdc4d00b182ba6d,1,credit_card,1,169.53
dfc7b55ee482374556356b94afc9b841,1,credit_card,1,81.43
c17789b6bce81222eaa468ad01dcc9db,1,credit_card,7,116.26
5dd64c69f0f1a0f2cb3a5272837fb904,1,credit_card,2,106.31
97291e812341c4a06c5614415aa9354a,1,debit_card,1,177.13
03d7f508a18d76f89489c40b7008f7e4,1,credit_card,9,188.29
2660e4e0c99dc944d9935e3b8781d81b,1,credit_card,2,45.86
0c5c7803f731287953ed066d8b599372,1,credit_card,1,61.58
67d83bd36ec2c7fb557742fb58837659,10,voucher,1,0.74
295458b743d8f806fbd5fb290d0b1b8d,1,boleto,1,45.95
e18ebd6286697a3f0f6fe267d8286cb2,1,credit_card,5,274.45
bf74f34eea55f16dd17b6212310074f8,1,credit_card,5,196.14
6893c7e3a051e9d94a2bed6777355f2d,1,credit_card,2,165.96
4ffa6925f9e9d85f1da329843f349238,2,voucher,1,33.6
8e287e7d7db7206c7a9d0184e97014ad,1,credit_card,7,400.18
bc8d5236efa331461a16b701994814ff,1,credit_card,3,88.67
e7fed674bb29ac98193d392f363cfcf1,1,credit_card,1,2.3
b1df036dc7d09224799cc86971761374,1,boleto,1,39.59
33797bbcfc4f22d40110f77692f83c78,2,voucher,1,5.09
ba1f4cf892df702e9b730cb54d9fb063,1,credit_card,3,112.09
f01557208e34bd6c092c907754981421,1,credit_card,6,214.41
7d63f6eebe0dba6fbe9a8c9b5d11aa96,1,credit_card,2,172.84
ec082d3ffd103096f9274b6247217ff9,1,boleto,1,232.81
d878a5313be350f1299ab46a1bed9254,1,credit_card,2,88.89
452f45581d396d07e3a7e9f4b4daf866,1,boleto,1,35.84
