product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
1522a5bd5aab30ceb119c8fb8ec5a8f0,esporte_lazer,32.0,682.0,1.0,190.0,22.0,5.0,15.0
24d746a5965b583493871d11f75b1068,instrumentos_musicais,30.0,435.0,1.0,1000.0,40.0,40.0,30.0
68bec1af3851f58027db8beadf3914d7,informatica_acessorios,41.0,231.0,2.0,350.0,16.0,16.0,16.0
ec5b5cce0b8464a1c618325f35c779dc,moveis_decoracao,60.0,2084.0,3.0,1300.0,69.0,11.0,11.0
6bc53d46b55a38602aad862a37153ea6,casa_conforto,57.0,246.0,3.0,5350.0,40.0,20.0,40.0
184f6e7e403fe477af4b1a02b9d432e4,moveis_decoracao,44.0,257.0,3.0,6300.0,30.0,45.0,40.0
1272db6c9d16e3c3b9878c3462a0f369,malas_acessorios,29.0,1095.0,3.0,450.0,28.0,19.0,29.0
f40ef461e35cca158e568c17293fb5be,telefonia,27.0,402.0,5.0,150.0,19.0,3.0,11.0
92473ca06aa61791e4dc02c9af82bf83,moveis_decoracao,60.0,2043.0,5.0,3000.0,69.0,11.0,11.0
b8be700cb8f91067761b685ac5d1664f,telefonia,60.0,1440.0,3.0,100.0,18.0,6.0,11.0
e27c4dd075a521097a085bced0631ce7,moveis_sala,31.0,618.0,2.0,9750.0,27.0,15.0,92.0
bf59082c832c1a67b92ee5ca73971f4e,utilidades_domesticas,56.0,1195.0,5.0,4750.0,60.0,5.0,40.0
36876fa11e21f66fcbe91abde34210c5,pet_shop,57.0,463.0,1.0,5500.0,57.0,21.0,37.0
b776dbd8d7dfb18b7422dd99b1f1ba03,utilidades_domesticas,49.0,539.0,3.0,3350.0,22.0,17.0,23.0
07797d4315ce5c1570e0a484472e04b5,moveis_decoracao,32.0,303.0,1.0,2300.0,37.0,30.0,20.0
